pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,21.4019915999379,22.38625709991902,22.38625709991902,22.38625709991902,22.38625709991902,22.40285259997472,23.385846599936485,23.385846599936485,x,1,1.4977243000175804,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,0,1,1,1,,,,,24.897178299957886,25.90178219997324,25.90178219997324,25.90178219997324,25.90178219997324,25.90178219997324,26.901600499870256,26.901600499870256,v,1,1.0511207999661565,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,0,2,2,2,,,,,27.9843142000027,28.98397419997491,28.98397419997491,28.98397419997491,28.98397419997491,28.98397419997491,29.98365870001726,29.98365870001726,c,1,0.9293801002204418,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,0,3,3,3,,,,,30.933524099877104,31.9330498999916,31.9330498999916,31.9330498999916,31.9330498999916,31.9330498999916,32.932627300033346,32.932627300033346,z,1,0.7873927999753505,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,1,0,4,0,,,,,33.74895579996519,34.74862219998613,34.74862219998613,34.74862219998613,34.74862219998613,34.74862219998613,35.74830099986866,35.74830099986866,x,1,0.7459237000439316,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,1,1,5,1,,,,,36.514640799956396,37.51436769985594,37.51436769985594,37.51436769985594,37.51436769985594,37.51436769985594,38.514196099946275,38.514196099946275,v,1,0.31817870028316975,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,1,2,6,2,,,,,38.86392629984766,39.863456199876964,39.863456199876964,39.863456199876964,39.863456199876964,39.863456199876964,40.86321670003235,40.86321670003235,c,1,0.3023268000688404,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,1,3,7,3,,,,,41.19653979991563,42.19614369980991,42.19614369980991,42.19614369980991,42.19614369980991,42.19614369980991,43.195635800017044,43.195635800017044,z,1,0.3241890000645071,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,2,0,8,0,,,,,43.54579050000757,44.54543559998274,44.54543559998274,44.54543559998274,44.54543559998274,44.54543559998274,45.545022199861705,45.545022199861705,x,1,0.31764070014469326,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,2,1,9,1,,,,,45.89494169992395,46.89442849997431,46.89442849997431,46.89442849997431,46.89442849997431,46.89442849997431,47.89420779980719,47.89420779980719,v,1,1.0659952000714839,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
